680,CUSTOMERS SLOW TO DEBOARD,CCR
681,CABIN CREW REQUEST FOR CUSTOMER REQUIREMENTS/MANIFEST,CCR
685,CABIN CREW IMPEDING FISH BONE CLEANING,CCR
710,DEPARTURE STATION BELOW AIRCRAFT OPERATING LIMITS,WEA
715,INBOUND WEATHER-RELATED HOLDING ON INBOUND FLIGHT (OPS CENTRE USE ONLY),WEA
720,DESTINATION STATION BELOW OPERATING LIMITS,WEA
730,OPERATIONS REQUIREMENT - WEATHER CHANGE/FORECAST,OPS
750,DE-ICING AIRCRAFT,WEA
770,GROUND HANDLING IMPAIRED DUE ADVERSE WEATHER,WEA
810,AIR TRAFFIC SERVICES,ATS
811,AIR TRAFFIC CONGESTION - NON-CONTROLLED AIRPORT,ATS
815,ATC HOLDING ON INBOUND FLIGHT,ATS
820,ATC STAFF SHORTAGES,ATS
830,ATFM,ATS
850,MANDATORY SECURITY / THREATS / SECURITY DIRECTION,SEC
851,OFFLOAD CUSTOMER &/OR BAGS AT GOVERNMENT AUTHORITY REQUEST,SEC
852,SECURITY SCREENING,APO
854,AIRPORT ASSESSMENT FOR UPLIFT OF CUSTOMER (INTOXICATED/ABUSIVE),BRD
860,"IMMIGRATION, CUSTOMS STAFF &/ OR CUSTOMER &/ OR LAW ENFORCEMENT",AAU
861,RESTRICTIONS AT DEPARTURE PORT,AAU
870,AIRCRAFT GROUND POSITIONING & TOWING DUE AIRPORT INFRASTRUCTURE,AIN
871,TRANSPORT OF CUSTOMERS / BAGS BETWEEN TERMINALS DUE INFRASTRUCTURE,AIN
872,AIRPORT EXTERNAL FACILITIES,AIN
873,TERMINAL FACILITIES,AIN
880,RESTRICTIONS AT DESTINATION PORT,AAU
890,ATC GROUND MOVEMENT CONTROL,ATS
891,"CUSTOMER, CREW OR BAG INFORMATION PROCESSING (APP, APIS & AAA)",AAU
892,ACFT HELD AWAITING ATC CLEARANCE DUE TO WEATHER,WEA
896,LATE / EXTENDED TOW DUE ATC CLEARANCE,ATS
910,CONNECTING LOAD - OPERATIONS CONTROL APPROVED,OPS
913,CONNECTING LOAD - LOCAL AIRPORT APPROVED,BRD
921,THROUGH CHECK-IN ERROR NON-QF TO QF,APO
922,THROUGH CHECK-IN ERROR QF TO QF – CUSTOMERS & BAGS,APO
930,AIRCRAFT ROTATION,ROT
940,CABIN CREW ROTATION,ART
950,FLIGHT CREW ROTATION,ART
952,ENTIRE CREW ROTATION,ART
961,OPERATIONS CENTRE – CONSOLIDATION OF CUSTOMERS EX QF FLIGHTS,OPS
962,OPERATIONS CENTRE – RESCHEDULED DUE DISRUPTION – OPERATIONAL / OTHER,OPS
963,OPERATIONS CENTRE – RESCHEDULED DUE DISRUPTION – CREW,OPS
964,OPERATIONS CENTRE – RESCHEDULED DUE DISRUPTION – ENGINEERING,OPS
966,OPERATIONS CENTRE – REROUTE/DIVERSION,OPS
969,OPERATIONS CENTRE PROCEDURAL ERROR,OPS
970,INDUSTRIAL ACTION WITHIN QF,NGR
980,INDUSTRIAL ACTION OUTSIDE QF,NGR
990,MISCELLANEOUS,APO
991,UNABLE TO EARLY BOARD,OPS
997,UNPLANNED FLIGHT (OPS CENTRE USE ONLY),OPS
998,CANCELLED FLIGHT (OPS CENTRE USE ONLY),OPS
